gold_id,gold_question,best_rank
8176,"How many ECHO Awards was Unheilig nominated for, what were they and how many did they win?",1
9963,Who placed in fifth and sixth place and with what times?,83
21659,When and where did the Shinee World The Best 2018 start and end?,21
10302,What were the highest-grossing films before January 14 after Martian?,1
1758,How did Keith Fraser do in the men's giant slalom after race 1?,1
21579,When did Gordon Hodgson join Liverpool and how many total career goals did he score with the club?,1
1698,What happened to the total appearances of Tsuneyasu Miyamoto in 2005 after 2004?,168
14201,"Who succeeded Virgil Chapman in March 1951, and who succeeded them in 1952?",35
2220,Who won the 1992 Wellington Central by-election and by how many majority votes?,312
12103,"What Grammy nominations and awards did ""Slither"" and ""Contraband"" get in 2005?",1
7871,How much money did Vale pay Stoke City for Jackie Mudie and Ron Wilson?,6
12966,What were the achievements of Alex Yunevich during hit football career?,2028
2123,How did Ezenwo Wike win the election?,259
12952,"When Gerry Fitt (Independent) lost his Members of Parliament seat, and who won it?",108
21473,"In the 1947 Tour De France, how many stages did the course consist of and what was the total course distance?",20
9810,What was the Hunter Mariners record at their home field?,1
9860,What roles did Nathan Pelle play in 2012?,29
10690,What is the total number of houses and male and female populations of Bhooi?,11
17656,How was the The Ade of Ads promoted?,467
21044,For what club and division was Gelson a player in the 1962–63 season?,17
11416,Who won in the first three places of The Newcomers Manx Grand Prix race?,4
13743,What were the names and vote differential between the top two candidates in the 2009 Narla election?,78
9349,What roles did Seth Gilliam have from 1996-1997?,14
17245,"How did Jacqueline Pusey perform in the 1976, 1977, and 1978 CARIFTA Games?",1
17592,"Who won the 2009 Election, by what margin?",293
1826,What movies did Randall Park play in 2014? What roles did he play?,144
1459,Did Laverne Cox ever appear as herself in any works?,18
21559,"Which countries came in first and second during the 1958 Eisenhower Trophy, and what were their respective scores?",66
2252,How many games did Peter Lee play with the Pittsburgh Penguins?,1
21553,Which candidates participated in the 2016 Kentucky Republican Primary for United States Senate and how many votes did each candidate receive?,3
15052,Who won the 1945 election and what proportion of the seats did they win?,46
10606,What film roles did Alex D. Linz have in 1997?,38
9856,How many fans attended the October 9th and October 10th Cleveland Indians games?,1
12710,"Who came in second to Fabian Coulthard during the 2016 Clipsal 500 Top Ten Shootout, and what was his time?",840
14923,What and when were Akhila Kishore's first two films?,3
10674,How many of each type of sponsor did the 1998 Winter Olympics have?,2
21442,By what vote count and percentage did Mia B. Love lose to Jim Matheson?,1
12227,What was Noel Comia Jr awarded for in 2017 as best actor at Cinemalaya?,9
14705,Who won the 1969 Turkish general election and how many seats did they win?,16
9630,What role did Melonie Diaz take after 2005?,306
12323,What was the voter turnout for the 2004 Philippine presidential election?,176
12125,How did Lansiquot perform in the 2018 European Championships in Berlin?,1
8345,What award nomination did Kin Stanely receive for the role Lillian Farmer in the film Frances (1982) and what role did she play in the film The Right Stuff (1983)?,1
21248,Which French league and club team did Andreas Wolf play for during the 2012-13 season?,32
2124,How long did Matthews play for the OLA Jr A Whitby Warriors?,1
12569,"Did Kipsubai Koskei win a medal at any events in the African Championships, and if so what was his time and was it record-breaking?",39
14076,"What roles did Louise Crawford play on Neighbors, and when did she play them?",5
12329,How did Biden do in the 1972 US Senate election?,19
931,"What role did William Moseley play in the 2016 film ""Friend Request""?",114
21451,When and where did Esperanza Spalding win the Jazz Artist of the Year award?,28
12425,How did Napolitano perform compared to the other candidates?,91
16753,What was the competition name and Fuamatu's position and throw distance for his second-to-last competition?,29
20773,How many seats did the Radical Left win and how many total seats were there?,4
12218,"What Democrat defeated what Republican, and what percentage of vote did the Democrat receive?",65
12367,What span of days was the 2019 Eric Clapton World Tour in Tokyo for?,1
1475,Did Drew Cary make any appearances as himself?,38
21072,What named roles did Bel Kutner play in 1997 and 1999?,526
8317,"According to the Census of India, how many houses were in Jatike, what was the total population and how many makes and females were in that total population?",41
1616,Did Langenkamp play any roles in only a television pilot?,772
21301,How many league and overall appearances did Joe Maloney have while playing for Shrews?,15
9209,In what year was Bruce M. Fischer most active?,2279
20717,Which club did Masahiro Iwata play for in 2002?,9
479,When did Admiral Özden Örnek serve in the Turkish Naval Forces?,2
14712,"What award did Waldman's arrangement of the ""Spiderman Theme"" win and when?",1
8589,What are the two remaining issues?,1564
443,What role did Rebolledo play in 2000?,66
21620,Little Glee Monster won what award in what 2018 event in Europe?,1
9858,"Who were the first and second place finishers, and how much did first win by?",161
8192,"Which sectors were 59.5%, 8.2%, and 5.2% of employees in Paris engaged in?",1
12132,What categories was Esom nominated for in 2014?,132
12417,How does the number of cast votes compared to registered voters in the Inverness-shire election?,56
8384,Which songs brought the consecutive wins as Favorite Artist Philippines at the 2002 and 2003 MTV Asia Awards for Regine Velasquez?,4
484,What did Buddy Miller win the Grammy Awards for?,10
8479,When did Mikael Nilsson score his first international goal?,49
9521,What were Grace Victoria Cox's longest running roles?,3116
21284,How did Louis Oosthuizen perform compared to Calcavecchia in the second round of the 2010 Open Championship?,1
10229,What are some 2018 films that Farmiga took part in?,405
592,What record did Leisel Jones achieve on August 12?,1
11321,In the 1975 National 500 Who won the race and what advantage did the winner receive?,95
14686,What were the main events in Vosk's career in 2016?,200
1651,Did a candidate achieve a majority in the Tatton election?,117
11556,"Which films did Amulya star in 2008, 2010 and 2013?",127
1689,What happened in the election in Wyoming?,264
8033,What roles did Daniel Ings play between 2014 and 2017?,549
20996,Who won the Amsterdam Marathon in 1988 and the Rotterdam Marathon in 1989?,2
12913,In which two films did Ray Fisher first appear as a cameo role?,76
10066,What TV miniseries roles did Madeleine Madden play in 2018?,482
1129,For which roles is Zöe Lucker known?,317
12910,What were the electoral results between Paul Staton and Augutus Invictus?,1
20759,Who did Carter defeat to become president and what percentage did the loser have?,1
8104,Which television shows did Yorgo Constantine act in 1998 and in 2002?,1385
1203,What is the first music video of Bonde da Stronda and when did they release it?,3
21151,What is the full name and nationality of the two swimmers that tied for 4th place in the Men's 100m butterfly at the 2012 Summer Olympics.,35
1810,Which candidate has more votes? Harvey or Royds?,1
8043,What 3 starring roles was Elizabeth Lail known for between the years of 2014 to 2018?,156
1306,"In 2007, what did Satoru Kawaguchi portray?",275
8512,Which albums did King Missile record for Atlantic?,1
20742,By how many votes did Beckett win the Derby South (UK Parliament constituency) election over the Conservative party?,150
21496,Which candidate won the 2015 General Election for Dagenham and Rainham and by what percentage of votes did they earn the majority?,61
10538,What were the first two movies Crewes appeared in?,803
17496,How did Lair do versus Harry Wyse?,1
20900,What was James' personal best record set at the 2010 CARIFTA Games?,1
10776,Who won the 2006 and 2001 elections for Cooch Behar West?,1
1768,Who were the top 2 candidates in the 1952 United States presidential election in Idaho?,42
673,What is Alexys Nycole Sanchez known for?,1526
12039,How many appearances did Arthur Bateman make for Brentford and how many goals did he score?,10
14772,Who was the winner and what was the majority in the 1889 Gorton by-election?,173
7965,What were John Karlen's roles in 1970 and 1978?,41
1622,What are the 3 municipalities with the most inhabitants?,1
465,What is M-1 MFC: Russia Open Tournament?,1
12405,In what year did St Clement win a Lifetime Achievement Award at the British Soap Awards?,2
10547,What roles has Rosie Huntington-Whiteley played between 2011 and 2016?,80
10790,What Guy Jenkins films has Swann appeared in?,49
21240,When and where did Dawn Ellerbe take home her first international win?,30
8510,What roles did Cliff Gorman play between 1981 to 1984?,221
7891,Who were transferred to Hull City abs what was the total cost of the transfers?,1
2208,What's Yefimova's best achievement in 2015?,41
8023,"In the National Assembly 1983 Senegalese general election, how many of the 120 seats did the Socialist Party win?",5
11904,How many votes did democrats Brenda Jones and Tliab receive and who finished second?,16
13753,"What year did Ty win Best Collaboration for ""Work from Home"" at the MTV Video Music Awards and who did he collaborate with?",1
12322,What singles were Included in Across the Rio Grande in 1988?,108
12216,In what year and what movie did Jon Rudnitsky play Mike?,1298
1785,Did Dino Maamria appear frequently for Stevenage in League One and League Two?,1
21470,"When and from which Matt and Kim album was ""Lessons Learned"" released?",1
677,Who did Sasha Clements star in two episodes of Life with Boys?,1004
7812,What are some of the more recent Alex Burger plays?,755
12141,What nominations did Shakeeb receive at the 5th Gaumee Film Awards?,1
21387,How many games did Shay Given play during the 2014-2015 Premier League season and for which club?,145
8130,How many seasons did Bill Edwards remain undefeated between 1935 to 1940 and when did he win the Sun Bowl?,5
800,Who did Ester Noronha work with in the Hindi film Baromas?,1
1642,Did Allan Smith compete in any event twice while representing a different group?,62
11347,What are the novels that Strickland wrote what did he accomplish?,1
1877,What awards did Janette McBride win in 2001?,542
15003,Who won the 2014 Newark by-election and by what margin?,28
12871,What awards was Andra Day nominated for in 2016 and for what accomplishments?,1
9888,Which awards was It's All Gone Pete Tong nominated for?,243
9990,"What were Justin Fargas' personal bests in the 100m and 400 meters, and when were these scores acheived?",15
16856,Which was Michelle Jenneke's record during the 2016 Olympic Games in the 100m hurdles?,6
719,Why and what was Dominic Lewis nominated in 2015?,157
20821,For which award L.I.F.E was nominated at the 2014 Nigeria Entertainment Awards.?,1
10237,Name three movies that Holden took part in 2005 to 2007,290
1293,What was O'Brien cast as in 1960?,116
8030,Which awards has Ziegler won and been nominated for?,22
2008,What did And Why Not?'s album Move Your Skin include?,1
21176,"In 1994, how many prizes did the film Exotica win in the Genie Awards?",18
21089,What role did Antidormi play in Spartacus: War of the Damned and for how long did he play it?,9
12046,Which awards for Best Action Choreography did Donnie Yen win for his role in Flash Point?,1
20716,What films was Erica Fernandes involved in in 2014?,7
7919,What roles did Gaurav Chakrabarty play Chhayamoy in and in Rupkatha Noy?,46
951,Which Canadian Ship did U-40 damage?,54
10513,"Who placed second, third, and fourth in the race?",457
902,Which roles did Louise Linton play in 2013?,92
9633,Was the USS President bigger than the HMS Endymion?,1
1572,When did Peter Heydon serve as Australian High Commissioner to India?,1
1752,When did season 6 of Reborn! air?,15
8511,How long did the Siena Saints participate in football?,351
21517,Which deanery and parish does the Dolm chuch in Trøndelag belong to?,19
9064,What roles did Aaron Jakubenko play in Tidelands and Conspiracy 365?,1
7759,What television show roles did Ta-Tanisha get in 1969?,71
1447,What event did Quinn Do win his first World Series of Poker bracelet in and how much prize money did he win?,8
1917,How long did Saad Al-Salim Al-Sabah serve as the Prime Minister of Kuwait? Who took over his place?,1
11893,"How did Jeb Bush perform against Buddy MacKay in their election, and what were the total votes and their respective percentages?",3
21515,Where and when did Françoise Mbango Etone take home his gold medals at the Olympic Games?,23
21404,"What place did Natasha Wodak get in the 10,000 m event at the 2015 World Championships, and in which city did the competition take place?",399
1702,Was A (Ayumi Hamasaki EP) released as a digital download?,12
12506,When did the first United Kingdom leg of the Who tour last?,40
12610,How did Filippo Tortu perform in the 109 meter race in 2016?,1
9341,Who did Ajoy Mukerjee represent in in Tamluk?,1
11529,"Which role did Richard Davies play between 1974 and 1975, and the year 1987?",12
12701,What were the final results for Sloane and Hamilton in the 1895 San Diego mayoral election?,134
10594,Who placed fifth and sixth?,338
2006,What happened to Evans Rutto's 2005 marathon performance compared to the previous 2 years?,26
9111,What did Poland do after winning the OGAE contest in 2010?,23
15105,"What was Clarence Stasavich's final career record, and when and where did he achieve it?",666
21375,"When was Sick released in Europe and the United States, respectively?",54
11514,What roles did Hugh Armstrong appear as in the films The Beastmaster and How to Get Ahead in Advertising?,1
20824,What award did Daphne Rubin-Vega win in 1996?,2
508,What did Malavika Wales star as?,202
9535,Who were the last two finishers of the at the 2012 Summer Olympics for the Women's 200 metre backstroke?,75
14933,How many games did Brett Callighen play for each league?,34
17560,Who won the 1873 Mississippi gubernatorial election and what was the final tally?,5
956,Which film role did Dana Kimmell play in 1982?,613
12718,"Between 2010 and 2012, what television programmes were presented by Vernon Kay and on which channels, excluding programmes for ABC?",91
15023,What club and league did Peter Wisgerhof play for in 2010-11?,61
20706,"Which singles did Alannah Myles release in Canada in 1989, and how did they perform?",1
21039,"How many appearances did Williams make for Coventry City, and for how many seasons did he play for the club?",1
21334,On which dates did Harold Martin take office as President of the Congress of New Caledonia?,1
15654,"In the Bodø domprosti in the Diocese of Sør-Hålogaland, to which parish does the Saura Church belong?",1
1679,What singles followed up Heaven 17's Pleasure One?,29
12614,How many games did Willian Arão play for Botafogo?,5
9052,How did Aleksandr Krasnykh perform compared to Cameron McEvoy and which countries did they represent?,186
9669,What roles did Scott Glenn have in 1966 and 1969?,13
21489,Who won the 2014 Election and with what percentage of the votes did they win?,325
10112,"In 2011, what films did Lee Valmassy star in?",9
1892,How did Labour and Conservative party do in the 1983 Bermondsey by-election?,2
10523,In what shows has Deublein appeared?,139
21461,"During which season did Jamie Clarke first leave Grimsby for Conference Premier league, and what club did he move on to?",51
9917,How did David Davies perform compared to Yuri Prilukov in the Men's 1500 meter freestyle final?,1
17044,What was Montgomery's personal best in what event at an NCAA championship?,84
14878,What was Stereos' second album and when was it released?,1
14967,"What major career event happened to Ben Chorley in 2015-2016, and where did he play before and after?",176
21232,"During the 24th Hong Kong Film Awards, what awards were Daniel Wu nominated for, and for which roles did he earn those nominations, respectively?",285
11552,"Which television series did Peter Graves play from 1967 to 1973, and 1988?",360
12345,"What year, what season and what show did Henri Castelli appear as Pedro Rodrigues?",1
14569,When and how did Kristoffer Tabori appear in Dishonored?,1
21071,For which club and in which league did Kim Hyo-iL play in 2007 and 2008?,3
21188,What were the votes and the percentage of the different candidates in the 2009 Illinois's 5th congressional district special election?,289
8425,What television shows did Michael Clarke Duncan appear in in 2008?,2169
21627,How many overall goals and appearances did Iván de la Peña make for the Spanish La Liga League?,2
11841,What roles did Akshat Chopra do after the year 2005?,31
21478,"When was Tea and Toast first released as a digital download independently and on a major record label, respectively?",19
16708,What are the natural gas assets of Snowy Hydro?,1
1533,What world endurance record does Tommy Goodwin hold and when did he achieve it?,39
8188,Which athletes got times of 2:14.67 and 2:14.01 at the Men's 200 metre breaststroke at the 2000 Summer Olympics and which countries do they represent?,99
15340,"Who tied for the bronze medal At the 2008 Summer Olympics- Men's 100-meter backstroke, and in what matching time?",284
16558,What awards did The Headies win in 2012?,1
745,How did Slovakia's Martina win the silver medal?,644
8546,What did JR Lemon do in 2013?,3350
752,When was RFC 906 and RFC 783 published?,1
10614,What is the number range of the locomotives in the Southern Railway?,2
21191,What role did Hale portray in Lady Killers in the year 1980?,1805
12221,How did George MacIntyre do in the season following his three losing seasons from 1979-1981?,20
452,What is Route LA 2 towards Lisbon?,79
21658,What films did Tom Holland star in in 2013 and 2015 and what was his role in each flim?,1
14228,What parish does the Madlamark church belong to?,1
1964,Which league and clubs was Rob Friend playing for in the 2006-07 season?,18
715,What did Neve McIntosh star in October 2010?,850
1832,What's the result of the election?,17
9883,Did any of the games in the 2006 Championship end in a forfeit?,114
1881,When did Pavel Purishkin start to play in the Kazakhstan First Division and how did he perform in the league games?,11
20839,"What competition did Bykova compete in that was held in Athens, Greece, and what place did she finish in, with what score?",49
2570,Where and when did Bogomolova achieve first in a marathon?,30
12981,What were Denis Savard's results in 1987-88 and 1985-86?,10
14541,"What was Dusán Kovács' time at the 1997 World Championships, and where was the competition held?",498
1632,Did Nadia Ejjafini achieve a PB time while representing Italy?,463
21018,"Did the Flings Owusu-Agyapong team win any medals at the 2016 African Championships and if so, what was their time?",3
14934,What awards was Giancarlo Esposito nominated for or awarded in 2012 based on his work in Breaking Bad?,1
9944,In what languages has Sridevika appeared in films?,10
8136,What roles did Matthew Goode play in the films Brideshead Revisited and Watchmen and which years were they released in?,458
707,Who and when did Goode play in the Dancing on the Edge？,1191
11716,"Who appeared in Dos lunas, Camelia la Texana, and as Ernesto Gamboa in El Señor de los Cielos in 2014?",5
21609,What awards and nominations were Durosoke honored with at the 2013 Nigeria Music Video Awards?,2
21440,"Who placed first and second, respectively, in the 2013 LPGA Championship and what were their scores?",1091
17680,How did Charles Rose perform in the 1913 Newmarket by-election?,1
12374,In what year and what movie did Danuel Pipoly play Piggy?,53
7756,What competitors finished fifth and sixth in the Women's 50 metre freestyle at the 2008 Summer Olympics?,467
20835,What were Val Schierling's overall and conference records in the MIAA?,1
16466,How did Aleksei Sokirskiy and Dilshod Nazarov fare in the second round of the 2017 World Championships in Athletics – Men's hammer throw?,295
2090,How did Khagen Das do compared to Manik Deb in the by-election?,1
21672,"When and in which clubs did Keita Isozaki first join the J1 and J2 Leagues, respectively?",20
9118,What did Freddy Rodriguez do in 1995?,523
21172,What films did Angus Wall win the Academy Award for Best Film Editing in?,131
9855,Which kinds of championships did the Medinah Country Club host?,13
12627,What were the last two Broadway roles Betsy Wolfe played?,373
11709,How did Marit Bjørgen perform at the 2010 Winter Olympics?,4
21227,Which club and division did Rade Prica play for in the 2006-07 season and how many goals did he score?,150
21635,What were Rolanda Vera's personal records at the 1989 Bolivarian Games?,2
803,Has Don Stewart ever been a voice actor?,330
21126,What two teams did Stephen Crainey play for in the 2003-2004 season?,8
9554,Who won the Gaighata in 1969-1972?,122
21381,"During the 2015-16 season, which club and league did İlayda Civelek play for and how many total goals did she score?",1
9250,"What personal bests did Brian Witherspoon set at Montverde, Florida?",1
10241,What are Enos' first two productions?,850
20958,How many appearances and goals did Cohen make in the 2000–01 season for Hibernians in the Maltese Premier League?,1
21082,"When was a music video for ""Straightjacket"" made and who directed it?",134
11483,When and which role made  K. Todd Freeman second time nominated Tony Award for Best Featured Actor in a Play?,135
20895,What was the title of the album nominated for World’s Best Album at the 2014 World Music Awards?,2
1959,What's Eşref Apak's personal best in 2005?,6
20827,How many goals did Ashley Williams score for the Swans and how many appearances did Ashley make?,194
21096,"What years did Aki make her debut with the single ""Home"" and release the song ""Kiss Me Good-Bye""?",14
21510,Where did Ercüment Olgundeniz set a National Record in 2004 and what was the record?,61
9722,Which roles in short films has Tom Baker played?,541
21386,"When and on which label was Digital Rock first released in the United Kingdom on digital and CD, respectively?",6
11997,How did Daniel Powell perform in his appearances for Milton Keynes Dons in the 2014-2015 season?,1
2092,What were Green's roles in the films The Dreamers and Kingdom of Heaven?,9
1670,Did Magic System receive any certifications?,3
264,What's the first show of Melissa George?,156
12038,What part did Khalil Ramos play in the 2016 film 2 Cool 2 Be 4gotten?,48
1868,"What awards did ""The Project"" win in 2013?",1
12209,How many of the 297 seats did the MPRP win and what parties did the remaining 45 seats go to?,51
228,What shows did Elise Lamb play in 2015?,952
21614,"What year did The Deftones release Koi No Yokan, and what are the names of the four singles it created?",2
9738,How did Winnie Ng perform at the World Championships?,203
9251,Which nations placed in the bottom 3 for the Men's 4 × 200 metre freestyle relay final?,202
325,How's air like at 20 °C?,1
9079,What has Jessica Collins achieve under the Daytime Emmy Award for Outstanding Supporting Actress in a Drama Series?,109
10775,What was Bolt's winning time and how much did he win by?,1
21150,What films did Martin clunes played in 1998?,15
8072,What films did Hounsou receive Academy Award nominations for?,186
9593,Which signings of the 1957–58 Port Vale F.C. season occurred in June or July?,1
9824,"Which ""Elite Squad"" movies did Wagner Moura appear in?",202
21036,Which animated characters were designed by Glen Keane in 1989 and 1990?,18
2181,How many appearances did Jung Sung-ryong make in 2006 and in which division?,5
20881,What role did Brad Renfro play in Tom and Huck and in what year?,1
12907,What was the performances of Flamini for Arsenal in the 20007-08 Premier League season?,1
7729,How destructive was U-371 on 17 March 1944?,37
1899,What's Mauro Zuliani's personal record for the 400 m event?,18
10529,What roles did Wilson play in 2002?,4
8178,When did Norm Beechey win the title of Australian Touring Car Championship while driving a Ford Mustang and a Holden Monaro?,2
555,What did Habiba Ghribi achieve in September 2015?,122
504,How did Emma McKeon do compared to Jeanette Ottesen in the 2016 Summer Olympics?,463
21410,Which titles featuring Ken Griffey Jr. did Rockstar San Diego develop and when were they released?,7
21326,Which events and at what competitions did Kendall Baisden take home gold in 2014 and 2015?,34
1058,For which races were the race records of Lifford Greyhound Stadium obtained in 2008?,1
11858,"How may episodes did Rowan Schlosberg shoot  as ""Connor""  in ""Lost in Space"" (2018) and as Dr Nate Fisher in ""Ghost Wars"" and what year did he do that?",2284
10676,Who are the starting pitchers and what are their stats?,319
9133,Did Katherine Rose Morley star in any short films in 2015?,140
376,What did Sara Maldonado play in 2004?,94
1801,"What award did Holloway win for appearing in ""Lost""?",2
20939,How many PIM did Brandon Bollig get for each of the 2006-2007 and the 2007-2008 USHL regular season?,11
1464,Did Catherine Taber appear in any films for The Humane Society?,1
10788,What roles did Thomas play in 1998?,587
8424,What films did Katie Cassidy appear in in 2006?,22
13736,"Throughout their career, Geeta Tyagi appeared on numerous channels. When and who was Geeta Tyagi cast as on their top two channels?",10
11621,How successful was Frank Southall?,106
11769,In what place did Francesca Halsall finish in the 2016 summer olympics Women's 50 metre freestyle and how much did she miss third place by?,296
21500,What films and roles did Mohit Malhotra play in 2012?,11
1486,In what film in what year did Cynthia Dale appear as Patty?,58
674,How did Hartmut Koch score in the Europan Indoor Games competition?,5
20737,How Many times did Merritt Yohnka win the Emmy for Outstanding Stunt Coordination ?,1
2139,Which team did Matt Pope play from 2011 to 2013?,74
